"","cat.penalty","F","G","ans","mas","d","match.penalty","VAR.fan","var.mismatch.penalty","modulate.by.distinct","distinctiveness","experiment","condition","retrievals","items","critical.retrieval","correct.item","distractor.item","model"
"1",-999,0.85,1,0.45,1.5,0.5,-3,0,0,0,0,"agr_embed","GP","agr_with_embed/agr-GP-retrievals.txt","agr_with_embed/agr-GP-items.txt",1,2,1,0
"2",-999,0.85,1,0.45,1.5,0.5,-2.75,0,0,0,0,"agr_embed","GP","agr_with_embed/agr-GP-retrievals.txt","agr_with_embed/agr-GP-items.txt",1,2,1,0
"3",-999,0.85,1,0.45,1.5,0.5,-2.5,0,0,0,0,"agr_embed","GP","agr_with_embed/agr-GP-retrievals.txt","agr_with_embed/agr-GP-items.txt",1,2,1,0
"4",-999,0.85,1,0.45,1.5,0.5,-2.25,0,0,0,0,"agr_embed","GP","agr_with_embed/agr-GP-retrievals.txt","agr_with_embed/agr-GP-items.txt",1,2,1,0
"5",-999,0.85,1,0.45,1.5,0.5,-2,0,0,0,0,"agr_embed","GP","agr_with_embed/agr-GP-retrievals.txt","agr_with_embed/agr-GP-items.txt",1,2,1,0.12
"6",-999,0.85,1,0.45,1.5,0.5,-1.75,0,0,0,0,"agr_embed","GP","agr_with_embed/agr-GP-retrievals.txt","agr_with_embed/agr-GP-items.txt",1,2,1,0.4
"7",-999,0.85,1,0.45,1.5,0.5,-1.5,0,0,0,0,"agr_embed","GP","agr_with_embed/agr-GP-retrievals.txt","agr_with_embed/agr-GP-items.txt",1,2,1,1.28
"8",-999,0.85,1,0.45,1.5,0.5,-1.25,0,0,0,0,"agr_embed","GP","agr_with_embed/agr-GP-retrievals.txt","agr_with_embed/agr-GP-items.txt",1,2,1,3.78
"9",-999,0.85,1,0.45,1.5,0.5,-1,0,0,0,0,"agr_embed","GP","agr_with_embed/agr-GP-retrievals.txt","agr_with_embed/agr-GP-items.txt",1,2,1,8.36
"10",-999,0.85,1,0.45,1.5,0.5,-0.75,0,0,0,0,"agr_embed","GP","agr_with_embed/agr-GP-retrievals.txt","agr_with_embed/agr-GP-items.txt",1,2,1,14.06
"11",-999,0.85,1,0.45,1.5,0.5,-0.5,0,0,0,0,"agr_embed","GP","agr_with_embed/agr-GP-retrievals.txt","agr_with_embed/agr-GP-items.txt",1,2,1,18.84
"12",-999,0.85,1,0.45,1.5,0.5,-0.25,0,0,0,0,"agr_embed","GP","agr_with_embed/agr-GP-retrievals.txt","agr_with_embed/agr-GP-items.txt",1,2,1,25.8
"13",-999,0.85,1,0.45,1.5,0.5,0,0,0,0,0,"agr_embed","GP","agr_with_embed/agr-GP-retrievals.txt","agr_with_embed/agr-GP-items.txt",1,2,1,33.58
"14",-999,0.85,1,0.45,1.5,0.5,-3,0,0,0,0,"agr_embed","GS","agr_with_embed/agr-GS-retrievals.txt","agr_with_embed/agr-GS-items.txt",1,2,1,0
"15",-999,0.85,1,0.45,1.5,0.5,-2.75,0,0,0,0,"agr_embed","GS","agr_with_embed/agr-GS-retrievals.txt","agr_with_embed/agr-GS-items.txt",1,2,1,0
